mapping_id,table,column,source_pointer,traitement,reference
F0423,STR_ACCOUNT_HOLDER,type_code,#/components/schemas/definitionType12,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0425,STR_COMPLETING_ACTION,account_status_code,#/components/schemas/accountStatusAtTimeOfTransaction,FK_VERSIONNEE,REF_STATUT_COMPTE
F0428,STR_INVOLVEMENT,type_code,#/components/schemas/definitionType12,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0433,STR_BENEFICIARY,type_code,#/components/schemas/definitionType34,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0449,STR_VALIDATION_ERROR,severity,#/components/schemas/ValidationMessage/properties/type,LECTURE_REPONSE_OU_ARCHIVE,
F0452,STR_API_SUBMISSION,api_response_body,#/components/schemas/Validations/properties/status/properties/code,LECTURE_REPONSE_OU_ARCHIVE,
F0460,STR_API_SUBMISSION,api_response_body,#/components/schemas/Validations/properties/acknowledgements/items/properties/messageTypeCode,LECTURE_REPONSE_OU_ARCHIVE,
F0466,STR_VALIDATION_ERROR,severity,#/components/schemas/ValidationMessage/properties/type,LECTURE_REPONSE_OU_ARCHIVE,
F0480,STR_VALIDATION_ERROR,severity,#/components/schemas/ValidationMessage/properties/type,LECTURE_REPONSE_OU_ARCHIVE,
F0481,STR_SUBMITTED_PAYLOAD,payload_json,#/components/schemas/reportTypeCode,LECTURE_REPONSE_OU_ARCHIVE,
F0482,STR_SUBMITTED_PAYLOAD,payload_json,#/components/schemas/submitTypeCode,LECTURE_REPONSE_OU_ARCHIVE,
F0486,STR_SUBMITTED_PAYLOAD,payload_json,#/components/schemas/DeleteReport/properties/reportDetails/properties/reportSubmitReasonCode,LECTURE_REPONSE_OU_ARCHIVE,
